"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,13,3,1,5,0,1,1,0,0,0,0,0,0
72,3,14,12,11,2,3,2,0,0,1,0,0,0
71,0,5,20,8,9,6,4,0,0,0,0,0,0
53,0,1,0,64,5,10,7,0,0,1,1,2,0
35,0,0,2,5,41,12,27,0,0,0,1,2,0
23,0,0,0,11,2,83,18,0,0,3,0,0,0
33,0,0,0,3,10,12,69,2,0,13,0,1,0
3,0,0,0,0,0,0,0,111,1,20,4,0,0
5,0,0,0,0,0,0,0,1,129,0,0,0,0
3,0,0,0,0,0,0,0,0,0,115,9,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
