"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,16,5,1,2,0,1,0,0,0,0,0,0,0
89,6,13,4,3,0,5,0,0,0,0,0,0,0
76,1,6,11,9,2,11,5,0,0,0,1,1,0
64,1,6,5,28,1,28,4,1,0,4,2,0,0
43,0,0,2,3,20,24,25,2,1,2,0,3,0
33,0,1,1,13,4,63,17,2,0,3,2,1,0
37,0,0,0,2,11,22,47,7,0,16,0,1,0
4,0,0,0,0,0,0,0,109,2,9,15,0,0
5,0,0,0,0,0,0,0,1,127,1,1,0,0
3,0,0,0,0,0,0,0,4,0,91,29,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,1,120,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
