"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,10,7,3,0,0,1,0,0,0,0,0,0,0
85,3,14,9,7,1,0,1,0,0,0,0,0,0
82,1,4,18,4,5,7,2,0,0,0,0,0,0
52,2,3,9,48,7,9,11,0,0,2,0,1,0
34,0,0,3,2,45,8,26,1,0,1,0,5,0
27,0,0,1,13,10,58,25,0,0,5,1,0,0
36,0,0,1,3,8,10,72,5,0,8,0,0,0
3,0,0,0,0,0,0,0,123,1,1,11,0,0
3,0,0,0,0,0,0,0,1,127,0,3,1,0
3,0,0,0,0,0,0,0,4,0,90,30,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
