"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,9,1,6,0,2,0,0,0,0,0,0,0
81,4,9,10,6,2,7,1,0,0,0,0,0,0
67,0,7,23,9,4,13,0,0,0,0,0,0,0
51,0,3,5,49,3,30,2,0,0,0,1,0,0
34,0,1,4,13,39,28,5,0,0,0,0,1,0
26,0,1,1,8,4,99,1,0,0,0,0,0,0
36,0,0,1,8,19,54,20,1,0,4,0,0,0
4,0,0,0,0,0,1,4,96,1,33,0,0,0
5,0,0,0,0,0,0,0,7,123,0,0,0,0
6,0,0,0,0,0,8,0,0,0,113,0,0,0
1,0,0,0,0,0,0,0,0,0,20,94,0,0
2,0,0,0,0,0,0,0,0,0,0,78,41,0
3,0,0,0,0,0,0,0,0,3,0,0,0,5
