"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,37,1,0,0,1,0,0,0,0,0,0,1,0
82,1,36,0,0,1,0,0,0,0,0,0,0,0
76,0,0,42,0,0,0,0,0,0,0,0,5,0
45,0,0,0,99,0,0,0,0,0,0,0,0,0
36,0,0,0,0,83,3,0,0,0,0,0,3,0
31,0,0,0,0,0,109,0,0,0,0,0,0,0
29,0,0,0,0,0,1,113,0,0,0,0,0,0
5,0,0,0,0,0,0,0,134,0,0,0,0,0
11,0,0,0,0,0,0,0,1,123,0,0,0,0
3,0,0,0,0,0,0,0,0,0,124,0,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
