"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,8,6,0,0,1,1,0,0,0,0,1,0
76,3,13,15,3,5,4,1,0,0,0,0,0,0
73,0,3,25,4,6,7,3,0,0,0,0,2,0
58,0,2,6,22,12,41,2,0,0,0,0,1,0
31,0,0,4,4,45,34,4,0,0,0,0,3,0
20,0,0,2,3,7,101,6,0,0,0,0,1,0
30,0,0,0,2,19,61,23,5,0,3,0,0,0
3,0,0,0,0,0,0,1,106,1,27,1,0,0
3,0,0,0,0,0,0,0,2,130,0,0,0,0
9,0,0,0,0,0,0,0,2,0,115,1,0,0
0,0,0,0,0,0,0,0,0,0,4,111,0,0
0,0,0,0,0,0,0,0,0,0,0,26,95,0
2,0,0,0,0,0,0,0,0,1,0,0,0,8
