"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,7,2,4,1,4,0,0,0,0,0,0,0
77,0,12,5,15,3,8,0,0,0,0,0,0,0
71,0,4,17,7,6,17,1,0,0,0,0,0,0
58,0,3,2,22,3,48,8,0,0,0,0,0,0
35,0,1,2,6,30,45,4,0,0,0,1,1,0
26,0,0,0,7,6,99,2,0,0,0,0,0,0
30,0,0,0,3,8,76,18,1,0,6,1,0,0
13,0,0,0,0,0,0,0,59,3,63,1,0,0
5,0,0,0,0,0,0,0,6,123,1,0,0,0
19,0,0,0,0,0,2,0,0,0,105,1,0,0
1,0,0,0,0,0,0,0,0,0,8,106,0,0
1,0,0,0,0,0,0,0,0,0,0,51,69,0
4,0,0,0,0,0,0,0,0,1,0,0,0,6
