"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,11,2,3,0,0,0,5,0,0,0,0,0,0
86,6,11,8,4,0,1,4,0,0,0,0,0,0
79,1,3,21,6,2,5,6,0,0,0,0,0,0
54,1,2,4,40,2,13,25,0,0,2,0,1,0
32,0,0,2,1,33,14,38,2,0,2,0,1,0
32,0,0,2,4,1,71,26,0,0,4,0,0,0
38,1,0,0,4,5,4,75,2,0,12,1,1,0
5,0,0,0,0,0,0,3,93,0,29,9,0,0
3,0,0,0,0,1,0,0,11,117,0,3,0,0
3,0,0,0,0,0,0,0,1,0,113,10,0,0
0,0,0,0,0,0,0,0,0,0,2,113,0,0
0,0,0,0,0,0,0,0,0,0,0,8,113,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
