,BENCHMARK,FAKET,BASELINE,FAKET_RANDOM,NOISY,FINETUNED-3,BENCHMARK-3,NOISELESS
1S3X,0.1073292617904847,0.16776406634409635,0.0309005809005809,0.02050479609528117,0.022079860814009866,0.14163806499308387,0.17640774445329552,0.47913390836464176
3QM1,0.23652959266480358,0.16184726556962517,0.1990920344328724,0.18038463111642689,0.16389242745769328,0.1816822151163717,0.17250173701962565,0.47762751626530786
3GL1,0.2521982310119883,0.22601214722107152,0.2491837436822467,0.1916095881245008,0.2525252558086761,0.24625204571978612,0.1602705076087085,0.5105516240246779
3H84,0.46406602462252305,0.4584997371392574,0.35299034897791765,0.20606694265868183,0.2617759272068788,0.46361557512746304,0.3790233758672521,0.81121955700961
2CG9,0.47190015821500547,0.3961084543732181,0.4225042757361581,0.3062150717940903,0.3491883911494302,0.42860678759144694,0.3513483723339696,0.7996585088326783
3D2F,0.5896586221099701,0.5819335251253448,0.5058401439602533,0.46925132980357676,0.5051244501460207,0.4978802035717613,0.4536453999493258,0.8862236062723913
1U6G,0.5322034619348366,0.4659149640480171,0.24232880862782824,0.18008985284066706,0.26572201629976444,0.5119432734575439,0.44551597237975965,0.7356882122507122
3CF3,0.88963443159571,0.7870802493100578,0.7061806960059974,0.6978012127643071,0.7769275536066719,0.8845509314520732,0.8563701485217217,0.9792919975401727
1BXN,0.9665372039969865,0.9180537549803406,0.9178709786840572,0.9472475569854325,0.955707984021008,0.9695698930567439,0.9665122385562089,0.9527366226203778
1QVR,0.834153251529138,0.8130478981551458,0.7544676586133168,0.7055050764668747,0.7787414307044357,0.8249590260368725,0.7948575999995405,0.9846904643807634
4CR2,0.9476424987622988,0.7977886494991591,0.6406901473362608,0.794543071971499,0.7923423770970429,0.8924857539679025,0.8976297529723692,0.9956769724560268
5MRC,0.9662450209588501,0.8234803989641236,0.4890859914835959,0.7776467314641641,0.7613788727075738,0.979744411207661,0.9703963158616543,0.9629035118228444
fiducial,0.8710526315789474,0.8614035087719297,0.6680764411027568,0.5978672170622635,0.5377598407784167,0.8894319131161237,0.9261904761904761,0.5807017543859648
