modality,reference,model,tilt,MAE,MSE,PSNR,SSIM
noisy,noiseless,0,0,0.4136551,0.17877803832156994,7.476858324168404,0.17221543
noisy,noiseless,0,1,0.41507924,0.1798020469273687,7.452053684192478,0.1737358
noisy,noiseless,0,2,0.41644347,0.1808536164019022,7.426728025358288,0.17395386
noisy,noiseless,0,3,0.41774926,0.18182050825141247,7.40357132565665,0.1753143
noisy,noiseless,0,4,0.41898644,0.18271356178480727,7.382292162505397,0.1759271
noisy,noiseless,0,5,0.42014012,0.18356293611981722,7.362150043090587,0.17704955
noisy,noiseless,0,6,0.42121252,0.18435536185608087,7.343442267009617,0.17838058
noisy,noiseless,0,7,0.42219758,0.18507618287692792,7.326494662316937,0.17917052
noisy,noiseless,0,8,0.42313087,0.18575800259122138,7.3105246743902015,0.18039799
noisy,noiseless,0,9,0.42397475,0.18637279456295755,7.296174827196589,0.18149643
noisy,noiseless,0,10,0.4247569,0.18697625173220922,7.282135506646464,0.18193798
noisy,noiseless,0,11,0.42549044,0.18755171816050542,7.268789529251027,0.18280518
noisy,noiseless,0,12,0.42616355,0.18807258235510713,7.256745122634458,0.18387172
noisy,noiseless,0,13,0.42676347,0.18856238444110643,7.245449386346264,0.18459114
noisy,noiseless,0,14,0.42729717,0.18898315283185024,7.23576909891725,0.18554968
noisy,noiseless,0,15,0.42778423,0.18938379071205955,7.226571948446676,0.1857381
noisy,noiseless,0,16,0.42822236,0.1897522532910842,7.218130581936224,0.18607174
noisy,noiseless,0,17,0.4285987,0.19006424223138452,7.2109958151602225,0.18601787
noisy,noiseless,0,18,0.42889807,0.1903463604066501,7.204554228707325,0.1866113
noisy,noiseless,0,19,0.42913365,0.1905567852378537,7.1997558250507145,0.18710074
noisy,noiseless,0,20,0.42928493,0.19069121943850115,7.196693040027636,0.18741569
noisy,noiseless,0,21,0.42935437,0.19074142562792812,7.1955497571212845,0.18738708
noisy,noiseless,0,22,0.42933923,0.1906991513200261,7.196512397167092,0.18754621
noisy,noiseless,0,23,0.4292321,0.1905954198786021,7.198875399272268,0.18734479
noisy,noiseless,0,24,0.429025,0.19040996320009188,7.203103309010409,0.18800141
noisy,noiseless,0,25,0.42871457,0.19014994635614788,7.20903792772684,0.18742421
noisy,noiseless,0,26,0.42832512,0.18986231110774215,7.215612369607898,0.18680966
noisy,noiseless,0,27,0.42784026,0.18944212895006707,7.225234343296876,0.18665034
noisy,noiseless,0,28,0.42724618,0.18895333867769942,7.236454299894031,0.18674171
noisy,noiseless,0,29,0.42656472,0.18841244757642883,7.24890408681253,0.18599379
noisy,noiseless,0,30,0.42576563,0.1877686785319336,7.263768501700767,0.18541457
noisy,noiseless,0,31,0.4251452,0.18728589121365938,7.274949380483848,0.1846472
noisy,noiseless,0,32,0.42444268,0.18671315258799298,7.288250880755843,0.18379048
noisy,noiseless,0,33,0.4236639,0.18607844981736146,7.303039206217003,0.18340693
noisy,noiseless,0,34,0.4228037,0.18538325452226542,7.319294977914374,0.18250996
noisy,noiseless,0,35,0.42186028,0.18461815762767383,7.337255873312383,0.1810933
noisy,noiseless,0,36,0.42082185,0.18377278978276265,7.357187917638983,0.18019716
noisy,noiseless,0,37,0.41969728,0.18288267081314286,7.378274444786471,0.1796105
noisy,noiseless,0,38,0.41850317,0.18192425486257696,7.401093952149966,0.17884134
noisy,noiseless,0,39,0.417242,0.18091218067876608,7.425321914404401,0.17724997
noisy,noiseless,0,40,0.4159168,0.17985444148023746,7.450788328716511,0.17639786
noisy,noiseless,0,41,0.4145115,0.1787709225097011,7.477031187645458,0.17511094
noisy,noiseless,0,42,0.41303033,0.1776093447678128,7.505341879136695,0.1739842
noisy,noiseless,0,43,0.41145152,0.17636216593012388,7.535945761775089,0.17309594
noisy,noiseless,0,44,0.40980348,0.1750392787967193,7.5686448473909005,0.17197864
noisy,noiseless,0,45,0.4080965,0.17368852239381738,7.602288794557453,0.17071354
