"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3,11,0,1,0,0,0,0,0,0,0,0,0
82,3,20,10,4,1,0,0,0,0,0,0,0,0
77,0,8,15,7,11,4,0,0,0,0,0,1,0
46,1,9,2,59,12,4,5,0,0,3,1,2,0
32,0,1,2,5,56,5,19,0,0,1,0,4,0
26,0,0,1,17,9,65,16,0,0,6,0,0,0
36,0,0,0,7,16,7,68,3,0,6,0,0,0
3,0,0,0,0,0,0,0,121,1,14,0,0,0
6,0,0,0,0,0,0,0,1,127,0,1,0,0
4,0,0,0,0,0,0,0,2,0,113,8,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
