"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,3,13,1,2,0,0,1,0,0,0,0,0,0
81,3,22,9,3,1,1,0,0,0,0,0,0,0
69,2,8,19,7,3,12,3,0,0,0,0,0,0
58,0,10,5,36,5,24,3,0,0,0,1,2,0
38,0,2,1,5,46,26,7,0,0,0,0,0,0
20,0,0,2,10,8,100,0,0,0,0,0,0,0
26,0,0,0,7,16,66,26,0,0,1,0,1,0
4,0,0,0,0,2,6,9,78,1,39,0,0,0
5,0,0,0,0,0,0,0,19,110,1,0,0,0
6,0,0,0,0,1,5,0,0,0,115,0,0,0
0,0,0,0,0,0,0,0,2,0,23,90,0,0
0,0,0,0,0,0,0,0,0,0,0,59,62,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
