"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,13,6,1,6,0,0,0,0,0,0,0,0,0
76,10,14,8,9,1,0,2,0,0,0,0,0,0
75,2,4,15,11,9,4,3,0,0,0,0,0,0
50,1,5,3,58,3,9,14,0,0,0,1,0,0
37,0,0,2,8,37,14,22,0,0,1,2,2,0
30,0,1,1,7,2,84,15,0,0,0,0,0,0
39,0,0,0,6,8,15,64,1,0,9,0,1,0
5,0,0,0,0,0,0,2,92,0,35,5,0,0
4,0,0,0,0,0,0,0,7,116,0,8,0,0
1,0,0,0,0,0,0,2,1,0,119,4,0,0
0,0,0,0,0,0,0,0,0,0,3,112,0,0
0,0,0,0,0,0,0,0,0,0,0,32,89,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
