,BENCHMARK,FAKET,BASELINE
1S3X,0.1073292617904847,0.16776406634409635,0.0309005809005809
3QM1,0.23652959266480358,0.16184726556962517,0.1990920344328724
3GL1,0.2521982310119883,0.22601214722107152,0.2491837436822467
3H84,0.46406602462252305,0.4584997371392574,0.35299034897791765
2CG9,0.47190015821500547,0.3961084543732181,0.4225042757361581
3D2F,0.5896586221099701,0.5819335251253448,0.5058401439602533
1U6G,0.5322034619348366,0.4659149640480171,0.24232880862782824
3CF3,0.88963443159571,0.7870802493100578,0.7061806960059974
1BXN,0.9665372039969865,0.9180537549803406,0.9178709786840572
1QVR,0.834153251529138,0.8130478981551458,0.7544676586133168
4CR2,0.9476424987622988,0.7977886494991591,0.6406901473362608
5MRC,0.9662450209588501,0.8234803989641236,0.4890859914835959
fiducial,0.8710526315789474,0.8614035087719297,0.6680764411027568
